Date,WIKI/GOOG,WIKI/AMZN,WIKI/MCD,WIKI/DIS
2015-10-19,666.1,573.15,98.651569571058,106.38200508904
2015-10-20,650.28,560.88,98.037888642537,106.74156790884
2015-10-21,642.61,555.77,96.810526785494,106.98451576005
2015-10-22,651.79,563.91,104.67508391562,110.05537659938
2015-10-23,702.0,599.03,106.29897806494,109.8998899746
2015-10-26,712.78,608.61,105.91188701772,110.31776027869
2015-10-27,708.49,611.01,105.40205978479,110.5607081299
2015-10-28,712.95,617.1,106.62942164183,111.11462923067
2015-10-29,716.92,626.55,106.3273018001,111.79488321406
2015-10-30,710.81,625.9,105.9779757331,110.53155438776
2015-11-02,721.11,628.35,105.84579830234,111.79488321406
2015-11-03,722.16,625.31,105.81747456718,112.28077891649
2015-11-04,728.11,640.95,106.11959440891,110.05537659938
2015-11-05,731.25,655.65,106.54445043635,109.81242874817
2015-11-06,733.76,659.37,106.97874770884,112.40711179912
2015-11-09,724.89,655.49,106.61998039678,113.13595535276
2015-11-10,728.32,659.68,106.89377650335,114.10774675761
2015-11-11,735.4,673.25,107.48857494176,113.23313449324
2015-11-12,731.23,665.6,105.84579830234,112.93187915774
2015-11-13,717.0,642.35,103.82537186074,111.60052493309
2015-11-16,728.96,647.81,104.85446757165,112.65005965033
2015-11-17,725.3,643.3,104.741172631,112.85413584535
2015-11-18,740.0,663.54,106.24233059461,114.8074365691
2015-11-19,738.41,661.27,106.96930646378,115.36135766987
2015-11-20,756.6,668.45,107.54522241209,116.68299398046
2015-11-23,755.98,678.99,108.07393213512,116.05132956731
2015-11-24,748.28,671.15,107.89454847909,114.62279620218
2015-11-25,748.15,675.34,108.00784341974,115.32248601367
2015-11-27,750.26,673.26,108.68761306364,111.8823444405
2015-11-30,742.6,664.8,108.62100943137,110.26917070845
2015-12-01,767.04,679.06,108.89693876507,112.13501020576
2015-12-02,762.38,676.01,108.20235802852,110.78422015302
2015-12-03,752.54,666.25,107.88836947638,108.73374028878
2015-12-04,766.81,672.64,110.56202957188,111.01745009018
2015-12-07,763.25,669.83,110.7713552733,110.61901561419
2015-12-08,762.37,677.33,110.87601812402,109.30709721765
2015-12-09,751.61,664.79,110.92359214707,108.32558789875
2015-12-10,749.46,662.32,111.51351003291,108.32558789875
2015-12-11,738.87,640.15,110.44785191655,105.66537122229
2015-12-14,747.77,657.91,110.61911839954,106.94657851867
2015-12-15,743.4,658.64,111.25661030843,109.69481707045
2015-12-16,758.09,675.77,112.12245752797,111.28899103465
2015-12-17,749.43,670.65,111.79895417122,109.54811394491
2015-12-18,739.31,664.14,110.99971058395,105.35240455447
2015-12-21,747.77,664.51,111.97973545881,104.24724100873
2015-12-22,750.0,663.15,112.00827987264,104.39394413427
2015-12-23,750.31,663.7,113.03587877056,103.23987954669
2015-12-24,748.4,662.79,112.81703826452,103.53328579777
2015-12-28,762.51,675.2,112.98830474751,104.89273476111
2015-12-29,776.6,693.97,114.24425895607,104.72647121883
2015-12-30,771.0,689.07,113.63531146101,104.0027357995
2015-12-31,758.88,675.89,112.40790166628,102.77042954496
2016-01-04,741.84,636.99,111.8750726081,100.7165857874
2016-01-05,742.58,633.79,113.41647095497,98.682302446582
2016-01-06,743.62,632.65,112.65528658615,98.154171194638
2016-01-07,726.39,607.94,110.04823012292,97.313073274876
2016-01-08,714.47,607.05,109.87696363993,97.068568065642
2016-01-11,716.03,617.74,111.02825499778,97.723842026388
2016-01-12,726.07,617.89,111.74186534356,99.229994115265
2016-01-13,700.56,581.81,109.53443067396,96.315492021203
2016-01-14,714.72,593.0,110.96165136551,96.931645148471
2016-01-15,694.45,570.18,109.59151950162,91.836156588048
2016-01-19,701.79,574.48,111.79895417122,91.904618046634
2016-01-20,698.45,571.77,110.16240777824,90.506048249819
2016-01-21,706.59,575.02,112.12245752797,91.95351908848
2016-01-22,725.25,596.38,112.65528658615,94.770219098849
2016-01-25,711.67,596.53,113.41647095497,93.195605551386
2016-01-26,713.04,601.25,114.58679192204,94.154065971581
2016-01-27,699.99,583.35,115.00544332489,92.24692533956
2016-01-28,730.96,635.35,116.44217882105,91.474288878383
2016-01-29,742.95,587.0,117.7742514665,93.713956594961
2016-02-01,752.0,574.81,118.56398024915,93.058682634215
2016-02-02,764.65,552.1,117.93600314487,91.07330033524
2016-02-03,726.95,531.07,115.57633160151,93.048902425846
2016-02-04,708.01,536.26,114.80563242808,93.332528468556
2016-02-05,683.57,502.13,109.80084520305,91.836156588048
2016-02-08,682.74,488.1,110.41930750272,90.095279498307
2016-02-09,678.11,482.07,111.33272874531,90.290883665694
2016-02-10,684.12,490.48,111.83701338966,86.897151361535
2016-02-11,683.11,503.82,111.06631421622,88.325061783457
2016-02-12,682.4,507.08,112.20809076946,89.146599286481
2016-02-16,691.0,521.1,113.39744134575,90.867915959484
2016-02-17,708.4,534.1,112.88364189679,93.400989927142
2016-02-18,697.35,525.0,111.48496561908,93.078243050954
2016-02-19,700.91,534.9,110.87601812402,92.921759717044
2016-02-22,706.46,559.5,111.96070584959,94.251868055274
2016-02-23,695.85,552.94,111.2280658946,93.28362742671
2016-02-24,699.56,554.04,111.38030276836,93.332528468556
2016-02-25,705.75,555.15,112.62674217232,93.547693052682
2016-02-26,705.07,555.23,112.22712037868,93.215165968124
2016-02-29,697.77,552.52,112.3517532648,93.42055034388
2016-03-01,718.81,579.04,113.94321934911,95.503734726549
2016-03-02,718.85,580.21,113.58849498092,94.868021182542
2016-03-03,712.42,577.49,111.87239601049,96.648019105761
2016-03-04,710.89,575.14,112.34216611972,96.315492021203
2016-03-07,695.16,562.8,112.31340468446,97.205490982813
2016-03-08,693.97,560.26,113.5309721104,95.669998268827
2016-03-09,705.24,559.47,114.70060381091,95.513514934918
2016-03-10,712.82,558.93,115.02656674384,94.907142016019
2016-03-11,726.82,569.61,116.53174852237,95.787360769259
2016-03-14,730.49,573.37,117.826013109,96.638238897391
2016-03-15,728.33,577.02,118.33413179857,96.080767020339
2016-03-16,736.09,574.27,118.42041610435,96.276371187726
2016-03-17,737.78,559.44,118.07527888124,97.410875358569
2016-03-18,737.6,552.08,118.95729622917,97.019667023795
2016-03-21,742.09,553.98,118.69844331185,96.295931604465
2016-03-22,740.75,560.48,118.70803045693,95.435273267963
2016-03-23,738.06,569.63,119.06275482512,94.701757640263
2016-03-24,735.3,582.95,118.19991176736,95.083185766667
2016-03-28,733.53,579.87,118.08486602633,95.934063894799
2016-03-29,744.77,593.86,118.85183763322,96.002525353385
2016-03-30,750.53,598.69,120.63504661925,96.736040981085
2016-03-31,744.95,593.64,120.49123944296,97.127249315858
2016-04-01,749.91,598.5,121.77591688451,96.892524314994
2016-04-04,745.29,593.19,122.30320986424,96.51109618859
2016-04-05,737.8,586.14,122.12105410761,94.868021182542
2016-04-06,745.69,602.08,122.25527413881,95.33747118427
2016-04-07,740.28,591.43,122.84967713416,94.046483679518
2016-04-08,739.15,594.6,122.6771085226,94.300769097121
2016-04-11,736.1,595.93,122.29362271916,94.154065971581
2016-04-12,743.09,603.17,122.34155844459,95.210328475469
2016-04-13,751.72,614.82,121.65128399838,97.293512858137
2016-04-14,753.2,620.75,122.24568699373,96.462195146743
2016-04-15,759.0,625.89,122.50453991105,96.423074313266
2016-04-18,766.61,635.35,123.53036443527,99.249554532004
2016-04-19,753.93,627.9,123.53995158036,100.38405870285
2016-04-20,752.67,632.99,123.24275008269,101.00021183011
2016-04-21,759.14,631.0,120.59669803891,100.64812432882
2016-04-22,718.77,620.5,120.31867083141,101.48922224858
2016-04-25,723.15,626.2,122.1977512683,102.27163891813
2016-04-26,708.14,616.88,122.43742989545,102.58460558595
2016-04-27,705.84,606.57,123.00307145553,102.96603371235
2016-04-28,691.02,602.0,122.63875994226,101.74350766618
2016-04-29,693.01,659.59,121.26779819494,100.99043162175
2016-05-02,698.21,683.85,122.90720000467,102.06625454237
2016-05-03,692.36,671.32,123.0989429064,101.49900245695
2016-05-04,695.7,670.9,123.99054739941,101.39142016489
2016-05-05,701.43,659.09,123.94261167398,102.62372641942
2016-05-06,711.12,673.95,125.18894053518,103.22031912995
2016-05-09,712.9,679.75,125.42861916234,103.02471496257
2016-05-10,723.18,703.07,126.16682933397,104.2570212171
2016-05-11,715.29,713.23,123.80839164277,100.04175140992
2016-05-12,713.31,717.93,124.74793186122,99.474499324498
2016-05-13,710.83,709.92,123.5111901451,98.310654528548
2016-05-16,716.49,710.66,124.28774889708,98.154171194638
2016-05-17,706.23,695.27,122.41825560528,97.743402443126
2016-05-18,706.63,697.45,120.99935813253,96.824062856409
2016-05-19,700.32,698.52,120.1173407846,96.247030562618
2016-05-20,709.74,702.8,117.50005017607,97.586919109217
2016-05-23,704.24,696.75,117.73972880323,97.000106607057
2016-05-24,720.09,704.2,118.83266334305,97.322853483245
2016-05-25,725.27,708.35,118.17115033211,97.665160776172
2016-05-26,724.12,714.91,118.67926902167,97.616259734325
2016-05-27,732.66,712.24,118.16156318702,98.085709736053
2016-05-31,735.72,722.79,117.02069292177,97.039227440534
2016-06-01,734.15,719.44,116.93440861599,96.354612854681
2016-06-02,730.4,728.24,117.02069292177,96.550217022067
2016-06-03,722.34,725.54,117.19452905881,96.579557647175
2016-06-06,716.55,726.73,117.82227066481,96.608898272283
2016-06-07,716.65,723.74,117.72569503312,96.188349312402
2016-06-08,728.28,726.64,117.92850385968,95.885162852953
2016-06-09,728.58,727.65,118.58521815518,95.689558685566
2016-06-10,719.41,717.91,118.16994293891,95.200548267099
2016-06-13,718.36,715.24,118.77836941857,95.425493059594
2016-06-14,718.27,719.3,118.31480638644,96.237250354249
2016-06-15,718.92,714.26,118.06370974404,96.110107645447
2016-06-16,710.36,717.51,118.27617613377,96.21768993751
2016-06-17,691.72,706.39,118.08302487038,96.824062856409
2016-06-20,693.71,714.01,119.19364463485,97.381534733461
2016-06-21,695.94,715.82,118.43069714448,96.648019105761
2016-06-22,697.46,710.6,116.48952694746,96.618678480653
2016-06-23,701.87,722.08,117.05932317444,96.843623273147
2016-06-24,675.22,698.96,115.34993449349,93.616154511267
2016-06-27,668.26,691.36,112.31745965834,92.305606589776
2016-06-28,680.04,707.95,114.44212355558,93.938901387455
2016-06-29,684.11,715.6,115.39822230933,94.848460765803
2016-06-30,692.1,715.62,116.21911517872,95.669998268827
2016-07-01,699.21,725.68,116.27706055773,95.875382644583
2016-07-05,694.49,728.1,116.62473283183,95.513514934918
2016-07-06,697.77,737.61,116.49918451063,96.286151396095
2016-07-07,695.36,736.57,116.77925384253,96.941425356841
2016-07-08,705.63,745.81,117.15589880614,98.133368499629
2016-07-11,715.09,753.78,117.82227066481,98.487996211533
2016-07-12,720.64,748.21,118.06370974404,98.704713146585
2016-07-13,716.98,742.63,118.61419084469,98.389488513782
2016-07-14,720.95,741.2,119.68618035648,98.478145441758
2016-07-15,719.85,735.44,119.37713833506,98.310682355581
2016-07-18,733.78,736.07,119.56063203528,98.65545929771
2016-07-19,736.96,739.95,122.16817409097,97.985606953002
2016-07-20,741.19,745.72,121.74324131153,96.754260731114
2016-07-21,738.63,744.43,122.82488838648,96.547394565836
2016-07-22,742.74,744.86,123.86790520876,96.251871472583
2016-07-25,739.77,739.61,123.03735477621,95.93664683978
2016-07-26,738.42,735.59,117.54220133291,95.247092955522
2016-07-27,741.77,736.67,115.38856474616,94.892465243618
2016-07-28,745.91,752.61,115.33061936715,94.478732913064
2016-07-29,768.79,758.81,113.62123068619,94.518135992164
2016-08-01,772.88,767.74,113.96890296028,94.114254431385
2016-08-02,771.07,760.58,113.66951850204,93.592163633304
2016-08-03,773.18,754.64,113.49568236499,94.656046769016
2016-08-04,771.61,760.77,114.24897229219,93.739925179931
2016-08-05,782.22,765.98,115.12781054059,94.399926754863
2016-08-08,781.76,766.56,114.23931472902,94.321120596662
2016-08-09,784.26,768.31,114.25862985536,95.227391415972
2016-08-10,784.68,768.56,114.73185045065,96.39963301921
2016-08-11,784.85,771.24,115.29198911447,96.310976091234
2016-08-12,783.22,772.56,115.42719499884,95.394854502149
2016-08-15,782.44,768.49,114.46143868192,95.650974516302
2016-08-16,777.14,764.04,113.9013000181,95.434257581249
2016-08-17,779.91,764.63,113.09006471188,95.424406811474
2016-08-18,777.5,764.46,113.11903740139,95.207689876422
2016-08-19,775.42,757.31,111.07163400951,94.951569862269
2016-08-22,772.15,759.48,111.46759409945,94.439329833963
2016-08-23,772.08,762.45,111.24547014656,94.537837531714
2016-08-24,769.64,757.25,110.93642812514,94.390075985088
2016-08-25,769.41,759.22,111.47725166262,94.12410520116
2016-08-26,769.54,769.0,110.52115290886,93.789179028806
2016-08-29,772.15,771.29,111.45793653628,93.454252856452
2016-08-30,769.09,767.58,112.2691718425,93.444402086677
2016-08-31,767.05,769.16,112.56113397454,93.050371295673
2016-09-01,768.78,770.62,112.30810012677,92.853355900171
2016-09-02,771.46,772.44,112.7265791827,93.010968216573
2016-09-06,780.08,788.87,114.10853327438,92.400220490516
2016-09-07,780.35,784.48,113.78737492913,92.31156356254
2016-09-08,775.32,784.06,113.05746959902,92.685892813994
2016-09-09,759.66,760.14,111.51007029918,91.040814261551
2016-09-12,769.02,771.49,112.84336403552,92.242608174114
